"ID","Type","Name","Documentation","Specialization"
"id-7d4a95f5ea0641eeae0f0f6f24376f23","Artifact","csvexport.txt","Datei | Pfad: 01-artifacts/02-csv/02-sync/csvexport.txt | Tiefe: 4",""
"id-7e5b795d15c641ea8708a2fd64721814","Artifact","assetsexport-readme.txt","Datei | Pfad: 01-artifacts/02-csv/02-sync/assetsexport-readme.txt | Tiefe: 4",""
"id-7f136f92462a428c961ca12fc9ce4617","Artifact","lib","Ordner | Pfad: 01-artifacts/01-scripts/examples/lib | Tiefe: 4",""
"id-7f183e98f77741b4828ec059beb6a2c7","Artifact","archimate3_Model.xsd","Datei | Pfad: 01-artifacts/00-xml/03-child/00-archimatechild/archimate3_Model.xsd | Tiefe: 5",""
"id-7f85a902e0584c6a94ff8be07b79c319","Artifact","01-archimateactivesub","Ordner | Pfad: 00-model/00-archimate/01-archimateactivesub | Tiefe: 3",""
"id-80f3645d8075485d9f43c08c08b83826","Artifact","MUNI FLOW.archimate.bak","Datei | Pfad: 00-model/00-archimate/01-archimateactivesub/MUNI FLOW.archimate.bak | Tiefe: 4",""
"id-81d1bd0eac1e41faab1b567564e84f83","Artifact","flowmapping.txt","Datei | Pfad: 01-artifacts/04-flow/flowmapping.txt | Tiefe: 3",""
"id-81da0b92400c46b49a30812ac4545553","Artifact","XML00-resolve_root.py","Datei | Pfad: 01-artifacts/01-scripts/XML00-resolve_root.py | Tiefe: 3",""
"id-826f02c5940847d188782f5e6e58ee54","Artifact","manifest.json","Datei | Pfad: .obsidian/plugins/obsidian-importer/manifest.json | Tiefe: 4",""
"id-82c931a4124e40958746fa2fa19efa42","Artifact","CLE23-csv_bpmn_child.py","Datei | Pfad: 01-artifacts/01-scripts/CLE23-csv_bpmn_child.py | Tiefe: 3",""
"id-831eac6131394fa99e770cd70aa28ab1","Artifact","XML04-merge_master.py","Datei | Pfad: 01-artifacts/01-scripts/XML04-merge_master.py | Tiefe: 3",""
"id-832a1018fba94893a50f374709532d73","Artifact","CLE41-reports_archimate.py","Datei | Pfad: 01-artifacts/01-scripts/CLE41-reports_archimate.py | Tiefe: 3",""
"id-83f5d7a56f8d498fbb8a77ae707ef26c","Artifact","99-logs","Ordner | Pfad: 02-stages/99-logs | Tiefe: 2",""
"id-870e83bd70494f71aaacd8477ca416a9","Artifact","01-bpmn","Ordner | Pfad: 00-model/01-bpmn | Tiefe: 2",""
"id-87a30a7a5496473782b501253cae5392","Artifact","Device.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/4. Technology & Physical/Device.ajs | Tiefe: 6",""
"id-8894a0299fac4c9d9ace2559607df98d","Artifact","styles.css","Datei | Pfad: .obsidian/plugins/obsidian-importer/styles.css | Tiefe: 4",""
"id-889ec780ae4a40e2a49caca8e0accc14","Artifact","FLW02-map_elements.py","Datei | Pfad: 01-artifacts/04-flow/FLW02-map_elements.py | Tiefe: 3",""
"id-893ec46b35a6440697acce794f256412","Artifact",".gitignore","Datei | Pfad: .gitignore | Tiefe: 1",""
"id-89e0e01bb52540f190076a846f622f87","Artifact","02-sync","Ordner | Pfad: 01-artifacts/00-xml/02-sync | Tiefe: 3",""
